MemberNameRegister,MemberNameLogin,MemberNAmeOpenShop,MemberNameAppointShopOwner,MemberNameAddDiscount,ShopNameOpenShop,ShopNameAppointShopOwner,ShopNameAddDiscount
MemberNameRegister1,MemberNameLogin1,MemberNAmeOpenShop1,MemberNameAppointShopOwner1,MemberNameAddDiscount1,ShopNameOpenShop1,ShopNameAppointShopOwner1,ShopNameAddDiscount1
MemberNameRegister2,MemberNameLogin2,MemberNAmeOpenShop2,MemberNameAppointShopOwner2,MemberNameAddDiscount2,ShopNameOpenShop2,ShopNameAppointShopOwner2,ShopNameAddDiscount2
MemberNameRegister3,MemberNameLogin3,MemberNAmeOpenShop3,MemberNameAppointShopOwner3,MemberNameAddDiscount3,ShopNameOpenShop3,ShopNameAppointShopOwner3,ShopNameAddDiscount3
MemberNameRegister4,MemberNameLogin4,MemberNAmeOpenShop4,MemberNameAppointShopOwner4,MemberNameAddDiscount4,ShopNameOpenShop4,ShopNameAppointShopOwner4,ShopNameAddDiscount4
MemberNameRegister5,MemberNameLogin5,MemberNAmeOpenShop5,MemberNameAppointShopOwner5,MemberNameAddDiscount5,ShopNameOpenShop5,ShopNameAppointShopOwner5,ShopNameAddDiscount5
MemberNameRegister6,MemberNameLogin6,MemberNAmeOpenShop6,MemberNameAppointShopOwner6,MemberNameAddDiscount6,ShopNameOpenShop6,ShopNameAppointShopOwner6,ShopNameAddDiscount6
MemberNameRegister7,MemberNameLogin7,MemberNAmeOpenShop7,MemberNameAppointShopOwner7,MemberNameAddDiscount7,ShopNameOpenShop7,ShopNameAppointShopOwner7,ShopNameAddDiscount7
MemberNameRegister8,MemberNameLogin8,MemberNAmeOpenShop8,MemberNameAppointShopOwner8,MemberNameAddDiscount8,ShopNameOpenShop8,ShopNameAppointShopOwner8,ShopNameAddDiscount8
MemberNameRegister9,MemberNameLogin9,MemberNAmeOpenShop9,MemberNameAppointShopOwner9,MemberNameAddDiscount9,ShopNameOpenShop9,ShopNameAppointShopOwner9,ShopNameAddDiscount9
MemberNameRegister10,MemberNameLogin10,MemberNAmeOpenShop10,MemberNameAppointShopOwner10,MemberNameAddDiscount10,ShopNameOpenShop10,ShopNameAppointShopOwner10,ShopNameAddDiscount10
MemberNameRegister11,MemberNameLogin11,MemberNAmeOpenShop11,MemberNameAppointShopOwner11,MemberNameAddDiscount11,ShopNameOpenShop11,ShopNameAppointShopOwner11,ShopNameAddDiscount11
MemberNameRegister12,MemberNameLogin12,MemberNAmeOpenShop12,MemberNameAppointShopOwner12,MemberNameAddDiscount12,ShopNameOpenShop12,ShopNameAppointShopOwner12,ShopNameAddDiscount12
MemberNameRegister13,MemberNameLogin13,MemberNAmeOpenShop13,MemberNameAppointShopOwner13,MemberNameAddDiscount13,ShopNameOpenShop13,ShopNameAppointShopOwner13,ShopNameAddDiscount13
MemberNameRegister14,MemberNameLogin14,MemberNAmeOpenShop14,MemberNameAppointShopOwner14,MemberNameAddDiscount14,ShopNameOpenShop14,ShopNameAppointShopOwner14,ShopNameAddDiscount14
MemberNameRegister15,MemberNameLogin15,MemberNAmeOpenShop15,MemberNameAppointShopOwner15,MemberNameAddDiscount15,ShopNameOpenShop15,ShopNameAppointShopOwner15,ShopNameAddDiscount15
MemberNameRegister16,MemberNameLogin16,MemberNAmeOpenShop16,MemberNameAppointShopOwner16,MemberNameAddDiscount16,ShopNameOpenShop16,ShopNameAppointShopOwner16,ShopNameAddDiscount16
MemberNameRegister17,MemberNameLogin17,MemberNAmeOpenShop17,MemberNameAppointShopOwner17,MemberNameAddDiscount17,ShopNameOpenShop17,ShopNameAppointShopOwner17,ShopNameAddDiscount17
MemberNameRegister18,MemberNameLogin18,MemberNAmeOpenShop18,MemberNameAppointShopOwner18,MemberNameAddDiscount18,ShopNameOpenShop18,ShopNameAppointShopOwner18,ShopNameAddDiscount18
